nameWithOwner,createdAt,updatedAt,primaryLanguage,mergedPullRequests,releases,totalIssues,closedIssues,collectedAt,stargazerCount
ollama/ollama,2023-06-26T19:39:32Z,2026-08-27T18:05:29Z,Go,3569,248,11086,8648,2026-08-27T18:41:57.584741736Z,179571
flutter/flutter,2015-03-06T22:54:58Z,2026-08-27T18:08:43Z,Dart,49863,7,115346,102809,2026-08-27T18:41:57.584741736Z,178675
microsoft/markitdown,2024-11-13T19:56:40Z,2026-08-27T18:16:42Z,Python,184,20,583,181,2026-08-27T18:41:57.584741736Z,176631
github/gitignore,2010-11-08T20:17:14Z,2026-08-27T17:38:47Z,,1780,0,0,0,2026-08-27T18:41:57.584741736Z,175477
twbs/bootstrap,2011-07-29T21:19:00Z,2026-08-27T14:41:28Z,MDX,9503,94,22944,22841,2026-08-27T18:41:57.584741736Z,174663
521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,2026-08-27T18:22:24Z,Python,17,68,3361,2710,2026-08-27T18:41:57.584741736Z,173290
firecrawl/firecrawl,2024-04-15T21:02:29Z,2026-08-27T18:20:28Z,TypeScript,1980,35,961,886,2026-08-27T18:41:57.584741736Z,173160
anthropics/skills,2025-09-22T15:53:31Z,2026-08-27T18:12:32Z,Python,51,0,377,50,2026-08-27T18:41:57.584741736Z,172040
f/prompts.chat,2022-12-05T13:54:13Z,2026-08-27T18:10:13Z,HTML,236,0,173,152,2026-08-27T18:41:57.584741736Z,168080
AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,2026-08-27T17:42:38Z,Python,1875,27,7912,5491,2026-08-27T18:41:57.584741736Z,164686
huggingface/transformers,2018-10-29T13:56:00Z,2026-08-27T18:19:06Z,Python,20313,271,19384,18524,2026-08-27T18:41:57.584741736Z,164511
jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,2026-08-27T15:57:03Z,,317,0,264,138,2026-08-27T18:41:57.584741736Z,162178
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,2026-08-27T17:39:44Z,JavaScript,1272,0,1160,1143,2026-08-27T18:41:57.584741736Z,158075
langflow-ai/langflow,2023-02-08T22:28:03Z,2026-08-27T18:12:45Z,Python,7401,305,3439,3216,2026-08-27T18:41:57.584741736Z,153738
langgenius/dify,2023-04-12T07:40:24Z,2026-08-27T18:15:10Z,TypeScript,13678,169,18748,18448,2026-08-27T18:41:57.584741736Z,153681
open-webui/open-webui,2023-10-06T22:08:27Z,2026-08-27T18:17:42Z,Python,4127,168,9497,9331,2026-08-27T18:41:57.584741736Z,150121
msitarzewski/agency-agents,2025-10-13T12:12:29Z,2026-08-27T18:22:16Z,Shell,226,0,146,88,2026-08-27T18:41:57.584741736Z,148441
Genymobile/scrcpy,2017-11-21T18:00:27Z,2026-08-27T17:54:40Z,C,153,52,6153,3357,2026-08-27T18:41:57.584741736Z,148387
airbnb/javascript,2012-11-01T23:13:50Z,2026-08-27T18:01:30Z,JavaScript,822,0,1416,1316,2026-08-27T18:41:57.584741736Z,148141
langchain-ai/langchain,2022-10-17T02:58:36Z,2026-08-27T18:14:10Z,Python,17318,1000,10068,9725,2026-08-27T18:41:57.584741736Z,145139
anthropics/claude-code,2025-02-22T17:41:21Z,2026-08-27T18:17:40Z,Python,162,200,87421,72957,2026-08-27T18:41:57.584741736Z,143185
x1xhlol/system-prompts-and-models-of-ai-tools,2025-03-05T16:38:29Z,2026-08-27T17:31:50Z,,52,0,211,121,2026-08-27T18:41:57.584741736Z,143174
yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,2026-08-27T17:51:24Z,TypeScript,494,0,127,92,2026-08-27T18:41:57.584741736Z,142215
vercel/next.js,2016-10-05T23:32:51Z,2026-08-27T18:18:45Z,JavaScript,28389,1000,25272,23867,2026-08-27T18:41:57.584741736Z,141962
ytdl-org/youtube-dl,2010-10-31T14:35:07Z,2026-08-27T17:30:54Z,Python,1646,341,26832,23205,2026-08-27T18:41:57.584741736Z,141039
clash-verge-rev/clash-verge-rev,2023-11-21T18:24:03Z,2026-08-27T18:05:56Z,TypeScript,1022,67,5827,5435,2026-08-27T18:41:57.584741736Z,140526
microsoft/PowerToys,2019-05-01T17:44:02Z,2026-08-27T18:04:42Z,C,7028,145,41283,33842,2026-08-27T18:41:57.584741736Z,138161
iptv-org/iptv,2018-11-14T22:00:57Z,2026-08-27T18:18:52Z,TypeScript,7002,0,35395,35357,2026-08-27T18:41:57.584741736Z,136850
golang/go,2014-08-19T04:33:40Z,2026-08-27T18:00:29Z,Go,1,0,73079,63511,2026-08-27T18:41:57.584741736Z,136543
ripienaar/free-for-dev,2015-03-18T21:06:26Z,2026-08-27T18:17:47Z,HTML,3100,0,0,0,2026-08-27T18:41:57.584741736Z,135518
labuladong/fucking-algorithm,2020-02-19T09:01:23Z,2026-08-27T17:23:06Z,Markdown,244,0,981,981,2026-08-27T18:41:57.584741736Z,135476
Shubhamsaboo/awesome-llm-apps,2024-04-29T05:30:25Z,2026-08-27T18:20:29Z,Python,243,0,173,166,2026-08-27T18:41:57.584741736Z,134705
github/spec-kit,2025-08-21T22:54:31Z,2026-08-27T18:16:53Z,Python,1449,215,1563,1423,2026-08-27T18:41:57.584741736Z,131866
excalidraw/excalidraw,2020-01-02T01:04:43Z,2026-08-27T18:15:54Z,TypeScript,3963,15,4935,2652,2026-08-27T18:41:57.584741736Z,130651
Comfy-Org/ComfyUI,2023-01-17T03:15:56Z,2026-08-27T18:20:00Z,Python,3196,154,9213,5063,2026-08-27T18:41:57.584741736Z,130294
garrytan/gstack,2026-03-11T21:22:45Z,2026-08-27T18:16:27Z,TypeScript,314,0,790,491,2026-08-27T18:41:57.584741736Z,130012
farion1231/cc-switch,2025-08-04T14:16:16Z,2026-08-27T18:12:04Z,Rust,465,51,4855,3210,2026-08-27T18:41:57.584741736Z,129749
krahets/hello-algo,2022-11-04T11:08:34Z,2026-08-27T17:43:24Z,Java,996,10,292,278,2026-08-27T18:41:57.584741736Z,129640
Chalarangelo/30-seconds-of-code,2017-11-29T17:35:03Z,2026-08-27T18:18:38Z,JavaScript,856,12,300,300,2026-08-27T18:41:57.584741736Z,128841
react/react-native,2015-01-09T18:10:16Z,2026-08-27T17:38:41Z,C++,1003,473,27792,27115,2026-08-27T18:41:57.584741736Z,126431
ggml-org/llama.cpp,2023-03-10T18:58:00Z,2026-08-27T18:02:14Z,C++,9902,1000,9701,8864,2026-08-27T18:41:57.584741736Z,125933
kubernetes/kubernetes,2014-06-06T22:56:04Z,2026-08-27T18:18:41Z,Go,65738,815,49588,47734,2026-08-27T18:41:57.584741736Z,125302
electron/electron,2013-04-12T01:47:36Z,2026-08-27T18:18:27Z,C++,26860,1000,21845,21212,2026-08-27T18:41:57.584741736Z,122751
