nameWithOwner,createdAt,updatedAt,primaryLanguage,mergedPullRequests,releases,totalIssues,closedIssues,collectedAt,stargazerCount
MunGell/awesome-for-beginners,2015-10-24T19:53:36Z,2026-08-27T17:43:54Z,,484,0,214,194,2026-08-27T18:41:57.584741736Z,88765
ChatGPTNextWeb/NextChat,2023-03-10T18:27:54Z,2026-08-27T18:20:47Z,TypeScript,912,77,3608,2903,2026-08-27T18:41:57.584741736Z,88651
PaddlePaddle/PaddleOCR,2020-05-08T10:38:16Z,2026-08-27T18:07:55Z,Python,3199,33,10723,10562,2026-08-27T18:41:57.584741736Z,88352
syncthing/syncthing,2013-11-26T09:48:21Z,2026-08-27T18:08:48Z,Go,2927,480,5945,5584,2026-08-27T18:41:57.584741736Z,88048
sveltejs/svelte,2016-11-20T18:13:05Z,2026-08-27T17:21:10Z,JavaScript,6860,636,9183,8253,2026-08-27T18:41:57.584741736Z,88003
ByteByteGoHq/system-design-101,2023-09-18T20:52:03Z,2026-08-27T18:07:05Z,,23,0,64,20,2026-08-27T18:41:57.584741736Z,87677
OpenCut-app/OpenCut,2025-06-22T08:02:17Z,2026-08-27T18:18:24Z,TypeScript,192,3,368,98,2026-08-27T18:41:57.584741736Z,87290
odysseus-dev/odysseus,2026-05-31T14:05:51Z,2026-08-27T18:00:15Z,Python,1440,0,2109,1112,2026-08-27T18:41:57.584741736Z,86389
OpenHands/OpenHands,2024-03-13T03:33:31Z,2026-08-27T18:23:12Z,TypeScript,7561,135,4643,4303,2026-08-27T18:41:57.584741736Z,85286
laravel/laravel,2011-06-08T03:06:08Z,2026-08-27T17:49:46Z,Blade,1710,228,0,0,2026-08-27T18:41:57.584741736Z,84884
macrozheng/mall,2018-04-04T01:11:44Z,2026-08-27T13:23:39Z,Java,1,3,505,494,2026-08-27T18:41:57.584741736Z,84645
koala73/worldmonitor,2026-01-08T17:26:06Z,2026-08-27T18:11:52Z,TypeScript,4776,43,1719,1451,2026-08-27T18:41:57.584741736Z,84532
bregman-arie/devops-exercises,2019-10-03T17:31:21Z,2026-08-27T18:18:56Z,Python,309,0,108,71,2026-08-27T18:41:57.584741736Z,84289
DopplerHQ/awesome-interview-questions,2015-11-28T09:48:17Z,2026-08-27T17:44:09Z,,175,0,61,34,2026-08-27T18:41:57.584741736Z,84225
realworld-apps/realworld,2016-02-26T20:49:53Z,2026-08-27T18:02:36Z,TypeScript,438,0,549,523,2026-08-27T18:41:57.584741736Z,84151
Developer-Y/cs-video-courses,2016-10-21T17:02:11Z,2026-08-27T17:39:22Z,,286,0,0,0,2026-08-27T18:41:57.584741736Z,83188
animate-css/animate.css,2011-10-12T10:07:38Z,2026-08-27T16:28:42Z,CSS,315,22,886,843,2026-08-27T18:41:57.584741736Z,82752
fighting41love/funNLP,2018-08-21T11:20:39Z,2026-08-27T17:52:31Z,Python,14,0,92,48,2026-08-27T18:41:57.584741736Z,82718
junegunn/fzf,2013-10-23T16:04:23Z,2026-08-27T17:36:07Z,Go,690,84,3207,2942,2026-08-27T18:41:57.584741736Z,82681
vitejs/vite,2020-04-21T05:03:57Z,2026-08-27T17:58:21Z,TypeScript,6656,715,8806,8307,2026-08-27T18:41:57.584741736Z,82553
lobehub/lobehub,2023-05-21T07:19:12Z,2026-08-27T18:22:39Z,TypeScript,8054,1000,6435,6118,2026-08-27T18:41:57.584741736Z,82039
mlabonne/llm-course,2023-06-17T22:16:25Z,2026-08-27T17:59:34Z,,2,0,100,33,2026-08-27T18:41:57.584741736Z,82028
tonsky/FiraCode,2014-11-11T19:32:38Z,2026-08-27T18:09:08Z,Clojure,145,29,1387,965,2026-08-27T18:41:57.584741736Z,81952
jesseduffield/lazygit,2018-05-19T00:53:06Z,2026-08-27T18:15:08Z,Go,2047,186,2705,1850,2026-08-27T18:41:57.584741736Z,81697
Leonxlnx/taste-skill,2026-02-19T21:44:05Z,2026-08-27T18:14:31Z,JavaScript,15,0,43,13,2026-08-27T18:41:57.584741736Z,81430
spring-projects/spring-boot,2012-10-19T15:02:57Z,2026-08-27T14:30:01Z,Java,220,355,43005,42548,2026-08-27T18:41:57.584741736Z,81375
bytedance/deer-flow,2025-05-07T02:50:19Z,2026-08-27T18:15:52Z,Python,1830,1,1914,1394,2026-08-27T18:41:57.584741736Z,81012
TapXWorld/ChinaTextbook,2020-01-05T04:11:06Z,2026-08-27T16:16:49Z,Roff,1,0,191,80,2026-08-27T18:41:57.584741736Z,80927
Egonex-AI/Understand-Anything,2026-03-15T02:30:51Z,2026-08-27T18:20:19Z,TypeScript,125,8,245,135,2026-08-27T18:41:57.584741736Z,80750
swisskyrepo/PayloadsAllTheThings,2016-10-18T07:29:07Z,2026-08-27T18:04:44Z,Python,571,5,0,0,2026-08-27T18:41:57.584741736Z,80430
netdata/netdata,2013-06-17T18:39:10Z,2026-08-27T17:05:42Z,Go,13021,138,8316,8123,2026-08-27T18:41:57.584741736Z,80322
hoppscotch/hoppscotch,2019-08-21T13:15:24Z,2026-08-27T16:17:41Z,TypeScript,2147,107,2508,1938,2026-08-27T18:41:57.584741736Z,80103
d2l-ai/d2l-zh,2017-08-23T04:40:24Z,2026-08-27T16:56:39Z,Python,1019,16,0,0,2026-08-27T18:41:57.584741736Z,80020
anuraghazra/github-readme-stats,2020-07-09T10:34:22Z,2026-08-27T17:14:51Z,JavaScript,1569,0,1396,1228,2026-08-27T18:41:57.584741736Z,79837
unclecode/crawl4ai,2024-05-09T09:48:50Z,2026-08-27T17:56:05Z,Python,233,20,1024,984,2026-08-27T18:41:57.584741736Z,79554
paperclipai/paperclip,2026-03-02T15:01:51Z,2026-08-27T18:20:46Z,TypeScript,1951,22,2978,802,2026-08-27T18:41:57.584741736Z,79497
Z4nzu/hackingtool,2020-04-11T09:21:31Z,2026-08-27T16:33:18Z,Python,59,0,525,406,2026-08-27T18:41:57.584741736Z,79138
coder/code-server,2019-02-27T16:50:41Z,2026-08-27T17:48:10Z,TypeScript,1765,255,3866,3723,2026-08-27T18:41:57.584741736Z,79088
doocs/advanced-java,2018-10-06T11:38:30Z,2026-08-27T14:29:18Z,Java,96,1,149,149,2026-08-27T18:41:57.584741736Z,79085
ventoy/Ventoy,2020-03-10T15:19:19Z,2026-08-27T18:07:51Z,C,302,115,2837,1936,2026-08-27T18:41:57.584741736Z,78974
awesomedata/awesome-public-datasets,2014-11-20T06:20:50Z,2026-08-27T17:21:21Z,,188,1,131,49,2026-08-27T18:41:57.584741736Z,78676
opendatalab/MinerU,2024-02-29T08:52:34Z,2026-08-27T18:20:55Z,Python,1544,186,2344,2287,2026-08-27T18:41:57.584741736Z,78624
elastic/elasticsearch,2010-02-08T13:20:56Z,2026-08-27T18:08:45Z,Java,96037,261,47163,42516,2026-08-27T18:41:57.584741736Z,77872
dair-ai/Prompt-Engineering-Guide,2022-12-16T16:04:50Z,2026-08-27T17:21:17Z,MDX,342,0,254,74,2026-08-27T18:41:57.584741736Z,77834
tensorflow/models,2016-02-05T01:15:20Z,2026-08-27T16:57:20Z,Python,2345,51,7322,6250,2026-08-27T18:41:57.584741736Z,77654
rtk-ai/rtk,2026-01-22T16:54:16Z,2026-08-27T18:10:56Z,Rust,556,285,1470,456,2026-08-27T18:41:57.584741736Z,77609
nomic-ai/gpt4all,2023-03-27T18:49:32Z,2026-08-27T17:14:46Z,C++,938,38,2224,1494,2026-08-27T18:41:57.584741736Z,77397
FortAwesome/Font-Awesome,2012-02-17T14:19:43Z,2026-08-27T18:19:02Z,JavaScript,222,65,19934,19644,2026-08-27T18:41:57.584741736Z,76885
D4Vinci/Scrapling,2024-10-13T20:29:53Z,2026-08-27T18:15:50Z,Python,109,53,154,152,2026-08-27T18:41:57.584741736Z,76760
MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,2026-08-27T15:44:25Z,Java,63,0,61,43,2026-08-27T18:41:57.584741736Z,76699
nestjs/nest,2017-02-04T20:12:52Z,2026-08-27T17:51:24Z,TypeScript,8746,161,5868,5861,2026-08-27T18:41:57.584741736Z,76471
grafana/grafana,2013-12-11T15:59:56Z,2026-08-27T17:53:12Z,TypeScript,69842,640,45022,42330,2026-08-27T18:41:57.584741736Z,76452
sdmg15/Best-websites-a-programmer-should-visit,2017-03-05T20:25:17Z,2026-08-27T16:36:41Z,,430,0,185,105,2026-08-27T18:41:57.584741736Z,76267
tesseract-ocr/tesseract,2014-08-12T18:04:59Z,2026-08-27T17:24:58Z,C++,1471,36,2767,2331,2026-08-27T18:41:57.584741736Z,76211
redis/redis,2009-03-21T22:32:25Z,2026-08-27T18:19:51Z,C,4774,150,7061,4801,2026-08-27T18:41:57.584741736Z,76121
AppFlowy-IO/AppFlowy,2021-06-16T12:56:48Z,2026-08-27T18:23:31Z,Dart,3895,142,4223,3323,2026-08-27T18:41:57.584741736Z,76007
Panniantong/Agent-Reach,2026-02-24T02:10:24Z,2026-08-27T18:17:16Z,Python,174,7,207,140,2026-08-27T18:41:57.584741736Z,75962
ocornut/imgui,2014-07-21T14:29:47Z,2026-08-27T17:19:32Z,C++,427,122,6922,5873,2026-08-27T18:41:57.584741736Z,75892
typicode/json-server,2013-11-27T13:21:13Z,2026-08-27T14:04:32Z,JavaScript,171,49,1193,576,2026-08-27T18:41:57.584741736Z,75695
openai/openai-cookbook,2022-03-11T02:08:53Z,2026-08-27T17:43:31Z,Jupyter Notebook,1094,0,822,741,2026-08-27T18:41:57.584741736Z,75576
obsproject/obs-studio,2013-10-01T02:40:31Z,2026-08-27T17:57:05Z,C,5587,247,5201,4400,2026-08-27T18:41:57.584741736Z,75517
shareAI-lab/learn-claude-code,2025-06-29T15:34:15Z,2026-08-27T17:11:41Z,Python,90,0,206,180,2026-08-27T18:41:57.584741736Z,75470
datawhalechina/hello-agents,2025-09-07T09:50:24Z,2026-08-27T18:11:17Z,Python,171,3,313,247,2026-08-27T18:41:57.584741736Z,75256
caddyserver/caddy,2015-01-13T19:45:03Z,2026-08-27T17:55:25Z,Go,2399,136,4607,4407,2026-08-27T18:41:57.584741736Z,75250
PKUFlyingPig/cs-self-learning,2021-10-20T13:43:42Z,2026-08-27T16:46:14Z,HTML,319,5,238,108,2026-08-27T18:41:57.584741736Z,75202
abi/screenshot-to-code,2023-11-14T17:53:32Z,2026-08-27T18:18:47Z,Python,83,0,405,284,2026-08-27T18:41:57.584741736Z,75045
python/cpython,2017-02-10T19:23:51Z,2026-08-27T18:15:47Z,Python,62888,0,77845,70794,2026-08-27T18:41:57.584741736Z,75018
unslothai/unsloth,2023-11-29T16:50:09Z,2026-08-27T18:17:31Z,Python,3878,58,4314,3344,2026-08-27T18:41:57.584741736Z,74979
apache/superset,2015-07-21T18:55:34Z,2026-08-27T18:12:02Z,Python,19878,267,12681,12471,2026-08-27T18:41:57.584741736Z,74484
enaqx/awesome-react,2014-08-06T05:31:44Z,2026-08-27T17:44:12Z,,799,0,127,122,2026-08-27T18:41:57.584741736Z,74410
hiyouga/LlamaFactory,2023-05-28T10:09:12Z,2026-08-27T17:33:02Z,Python,1023,36,8033,7034,2026-08-27T18:41:57.584741736Z,74396
josephmisiti/awesome-machine-learning,2014-07-15T19:11:19Z,2026-08-27T17:38:11Z,Python,934,0,118,117,2026-08-27T18:41:57.584741736Z,74183
Eugeny/tabby,2016-12-23T09:06:10Z,2026-08-27T18:19:41Z,TypeScript,1580,209,6335,3627,2026-08-27T18:41:57.584741736Z,74171
thedaviddias/Front-End-Checklist,2017-10-16T10:12:36Z,2026-08-27T18:20:11Z,MDX,180,2,156,152,2026-08-27T18:41:57.584741736Z,73912
twitter/the-algorithm,2023-03-27T14:57:57Z,2026-08-27T11:25:30Z,Scala,2,0,1083,754,2026-08-27T18:41:57.584741736Z,73870
unionlabs/union,2023-05-16T22:33:39Z,2026-08-27T17:30:54Z,Rust,3128,113,1843,1715,2026-08-27T18:41:57.584741736Z,73823
binhnguyennus/awesome-scalability,2017-12-27T03:46:40Z,2026-08-27T16:59:02Z,,37,0,0,0,2026-08-27T18:41:57.584741736Z,73557
vuejs/awesome-vue,2015-10-20T00:16:14Z,2026-08-27T17:08:34Z,,3655,0,234,193,2026-08-27T18:41:57.584741736Z,73545
ComposioHQ/awesome-claude-skills,2025-10-17T07:15:01Z,2026-08-27T18:17:12Z,Python,38,0,147,11,2026-08-27T18:41:57.584741736Z,73527
CompVis/stable-diffusion,2022-08-10T14:36:44Z,2026-08-27T10:24:06Z,Jupyter Notebook,5,0,740,200,2026-08-27T18:41:57.584741736Z,73348
microsoft/ai-agents-for-beginners,2024-11-28T10:42:52Z,2026-08-27T18:02:58Z,Jupyter Notebook,511,0,124,123,2026-08-27T18:41:57.584741736Z,73329
danielmiessler/SecLists,2012-02-19T01:30:18Z,2026-08-27T18:02:20Z,PHP,709,30,328,319,2026-08-27T18:41:57.584741736Z,73126
strapi/strapi,2015-09-30T15:34:48Z,2026-08-27T13:58:54Z,TypeScript,10409,542,12215,11970,2026-08-27T18:41:57.584741736Z,73017
NationalSecurityAgency/ghidra,2019-03-01T03:27:48Z,2026-08-27T18:21:53Z,Java,589,55,6140,4589,2026-08-27T18:41:57.584741736Z,72976
fffaraz/awesome-cpp,2014-07-17T08:51:11Z,2026-08-27T18:15:32Z,,886,0,593,360,2026-08-27T18:41:57.584741736Z,72966
juliangarnier/anime,2016-03-13T21:37:45Z,2026-08-27T14:32:30Z,JavaScript,87,37,849,752,2026-08-27T18:41:57.584741736Z,72469
OpenBB-finance/OpenBB,2020-12-20T10:46:38Z,2026-08-27T17:44:32Z,Python,4303,56,2324,2274,2026-08-27T18:41:57.584741736Z,72376
hakimel/reveal.js,2011-06-07T18:54:22Z,2026-08-27T15:42:55Z,JavaScript,416,51,2516,1712,2026-08-27T18:41:57.584741736Z,72215
chrislgarry/Apollo-11,2014-04-03T15:45:02Z,2026-08-27T18:19:10Z,Assembly,0,0,0,0,2026-08-27T18:41:57.584741736Z,72206
pallets/flask,2010-04-06T11:11:59Z,2026-08-27T13:41:51Z,Python,1633,38,2763,2763,2026-08-27T18:41:57.584741736Z,72144
Asabeneh/30-Days-Of-Python,2019-11-19T17:24:16Z,2026-08-27T18:24:03Z,Python,147,0,182,91,2026-08-27T18:41:57.584741736Z,72023
moby/moby,2013-01-18T18:10:57Z,2026-08-27T17:15:16Z,Go,23086,308,23604,20318,2026-08-27T18:41:57.584741736Z,72003
toeverything/AFFiNE,2022-07-31T18:45:21Z,2026-08-27T17:48:33Z,TypeScript,9366,573,4018,3413,2026-08-27T18:41:57.584741736Z,71951
daytonaio/daytona,2024-02-06T08:21:20Z,2026-08-27T18:17:30Z,,2505,205,1248,932,2026-08-27T18:41:57.584741736Z,71855
protocolbuffers/protobuf,2014-08-26T15:52:15Z,2026-08-27T17:21:46Z,C++,9808,219,6903,6776,2026-08-27T18:41:57.584741736Z,71824
nektos/act,2019-01-02T19:53:43Z,2026-08-27T16:50:58Z,Go,1061,97,1345,1083,2026-08-27T18:41:57.584741736Z,71665
666ghj/MiroFish,2025-11-26T04:23:02Z,2026-08-27T16:44:49Z,Python,27,3,401,352,2026-08-27T18:41:57.584741736Z,71593
binary-husky/gpt_academic,2023-03-20T09:05:13Z,2026-08-27T16:29:26Z,Python,228,32,1784,1486,2026-08-27T18:41:57.584741736Z,71255
prakhar1989/awesome-courses,2014-11-15T18:36:49Z,2026-08-27T18:23:01Z,,194,0,86,41,2026-08-27T18:41:57.584741736Z,70697
ansible/ansible,2012-03-06T14:58:02Z,2026-08-27T17:51:56Z,Python,40072,252,33439,32915,2026-08-27T18:41:57.584741736Z,70481
swiftlang/swift,2015-10-23T21:15:07Z,2026-08-27T17:07:22Z,Swift,60812,70,18166,10517,2026-08-27T18:41:57.584741736Z,70301
FoundationAgents/MetaGPT,2023-06-30T09:04:55Z,2026-08-27T15:46:11Z,Python,673,22,975,959,2026-08-27T18:41:57.584741736Z,70066
ruvnet/ruflo,2025-06-02T21:24:20Z,2026-08-27T18:16:23Z,TypeScript,580,1000,1657,1077,2026-08-27T18:41:57.584741736Z,69554
expressjs/express,2009-06-26T18:56:01Z,2026-08-27T17:51:13Z,JavaScript,554,165,4068,3963,2026-08-27T18:41:57.584741736Z,69401
santifer/career-ops,2026-04-04T18:21:18Z,2026-08-27T18:23:39Z,JavaScript,1299,41,1151,967,2026-08-27T18:41:57.584741736Z,68835
code-yeongyu/oh-my-openagent,2025-12-03T01:40:05Z,2026-08-27T18:05:19Z,TypeScript,2793,247,2602,2107,2026-08-27T18:41:57.584741736Z,68441
base/node,2023-02-01T13:55:02Z,2026-08-27T18:05:26Z,Shell,275,86,381,374,2026-08-27T18:41:57.584741736Z,68411
colbymchenry/codegraph,2026-01-18T21:45:37Z,2026-08-27T18:13:41Z,C,478,31,668,510,2026-08-27T18:41:57.584741736Z,68366
openinterpreter/openinterpreter,2023-07-14T07:10:44Z,2026-08-27T17:30:12Z,Rust,438,65,1100,1098,2026-08-27T18:41:57.584741736Z,68166
headroomlabs-ai/headroom,2026-01-07T19:58:51Z,2026-08-27T18:02:36Z,Python,1521,168,969,707,2026-08-27T18:41:57.584741736Z,67807
chartjs/Chart.js,2013-03-17T23:56:36Z,2026-08-27T18:07:57Z,JavaScript,3018,117,7319,6820,2026-08-27T18:41:57.584741736Z,67669
BurntSushi/ripgrep,2016-03-11T02:02:33Z,2026-08-27T16:32:45Z,Rust,571,75,1822,1703,2026-08-27T18:41:57.584741736Z,67639
labmlai/annotated_deep_learning_paper_implementations,2020-08-25T02:29:34Z,2026-08-27T16:38:44Z,Python,104,0,143,115,2026-08-27T18:41:57.584741736Z,67362
microsoft/AI-For-Beginners,2021-03-03T16:27:36Z,2026-08-27T18:18:58Z,Jupyter Notebook,312,0,198,185,2026-08-27T18:41:57.584741736Z,67342
gorhill/uBlock,2015-04-01T17:51:11Z,2026-08-27T17:44:47Z,JavaScript,0,289,3446,3433,2026-08-27T18:41:57.584741736Z,67322
apache/echarts,2013-04-03T03:18:59Z,2026-08-27T18:11:01Z,TypeScript,1524,125,19387,18041,2026-08-27T18:41:57.584741736Z,67164
scikit-learn/scikit-learn,2010-08-17T09:43:38Z,2026-08-27T16:50:03Z,Python,14737,50,12254,10715,2026-08-27T18:41:57.584741736Z,67077
cline/cline,2024-07-06T07:28:10Z,2026-08-27T18:14:03Z,TypeScript,4557,397,4443,3759,2026-08-27T18:41:57.584741736Z,66999
bradtraversy/design-resources-for-developers,2020-05-06T14:40:35Z,2026-08-27T15:43:18Z,,978,0,0,0,2026-08-27T18:41:57.584741736Z,66759
sindresorhus/awesome-nodejs,2014-07-11T13:35:34Z,2026-08-27T17:44:25Z,,421,0,105,102,2026-08-27T18:41:57.584741736Z,66631
xtekky/gpt4free,2023-03-29T17:00:43Z,2026-08-27T15:25:32Z,Python,907,511,2050,2049,2026-08-27T18:41:57.584741736Z,66610
leonardomso/33-js-concepts,2018-09-04T13:27:04Z,2026-08-27T16:48:55Z,JavaScript,269,0,121,120,2026-08-27T18:41:57.584741736Z,66513
Fission-AI/OpenSpec,2025-08-05T10:37:45Z,2026-08-27T17:21:28Z,TypeScript,591,46,610,507,2026-08-27T18:41:57.584741736Z,66436
dani-garcia/vaultwarden,2018-02-17T22:40:20Z,2026-08-27T17:45:58Z,Rust,1168,86,2773,2757,2026-08-27T18:41:57.584741736Z,66364
TheAlgorithms/Java,2016-07-16T10:21:02Z,2026-08-27T16:49:43Z,Java,2396,0,1250,1246,2026-08-27T18:41:57.584741736Z,66188
facebook/docusaurus,2017-06-20T16:13:53Z,2026-08-27T18:13:05Z,TypeScript,5874,157,3467,3182,2026-08-27T18:41:57.584741736Z,66104
webpack/webpack,2012-03-10T10:08:14Z,2026-08-27T15:03:23Z,JavaScript,6425,463,10231,10175,2026-08-27T18:41:57.584741736Z,65966
LadybirdBrowser/ladybird,2024-05-30T09:18:10Z,2026-08-27T18:04:50Z,C++,8200,0,1968,1470,2026-08-27T18:41:57.584741736Z,65860
prometheus/prometheus,2012-11-24T11:14:12Z,2026-08-27T17:20:55Z,Go,8890,377,6548,6045,2026-08-27T18:41:57.584741736Z,65857
kelseyhightower/nocode,2018-02-06T23:54:00Z,2026-08-27T15:03:45Z,Dockerfile,1,1,4968,737,2026-08-27T18:41:57.584741736Z,65674
docling-project/docling,2024-07-09T07:50:26Z,2026-08-27T18:22:36Z,Python,1172,209,1982,1083,2026-08-27T18:41:57.584741736Z,65648
alacritty/alacritty,2016-02-18T05:02:30Z,2026-08-27T17:53:28Z,Rust,1938,108,6346,6017,2026-08-27T18:41:57.584741736Z,65533
lydiahallie/javascript-questions,2019-06-12T08:26:27Z,2026-08-27T16:18:25Z,,327,0,253,233,2026-08-27T18:41:57.584741736Z,65327
Mintplex-Labs/anything-llm,2023-06-04T02:29:14Z,2026-08-27T18:22:39Z,JavaScript,1585,35,3759,3464,2026-08-27T18:41:57.584741736Z,65294
shanraisshan/claude-code-best-practice,2025-10-31T14:15:28Z,2026-08-27T17:58:42Z,HTML,48,0,57,49,2026-08-27T18:41:57.584741736Z,65252
kdn251/interviews,2017-02-14T18:19:25Z,2026-08-27T12:38:43Z,Java,42,0,59,24,2026-08-27T18:41:57.584741736Z,65229
localstack/localstack,2016-10-25T23:48:03Z,2026-08-27T16:21:17Z,Python,6814,106,6178,6178,2026-08-27T18:41:57.584741736Z,65143
tw93/Mole,2025-09-23T06:38:40Z,2026-08-27T17:30:29Z,Shell,345,62,913,913,2026-08-27T18:41:57.584741736Z,65110
nocodb/nocodb,2017-10-29T18:51:48Z,2026-08-27T17:32:31Z,TypeScript,6507,199,4757,4357,2026-08-27T18:41:57.584741736Z,64762
gsd-build/get-shit-done,2025-12-14T14:17:12Z,2026-08-27T18:05:18Z,JavaScript,1202,78,1890,1890,2026-08-27T18:41:57.584741736Z,64631
traefik/traefik,2015-09-13T19:04:02Z,2026-08-27T16:30:21Z,Go,5546,555,6844,6158,2026-08-27T18:41:57.584741736Z,64618
warpdotdev/warp,2021-07-08T18:48:08Z,2026-08-27T18:18:49Z,Rust,2287,56,10862,7030,2026-08-27T18:41:57.584741736Z,64565
ryanoasis/nerd-fonts,2014-12-05T04:31:17Z,2026-08-27T18:17:33Z,CSS,610,40,1158,1144,2026-08-27T18:41:57.584741736Z,64433
keras-team/keras,2015-03-28T00:35:42Z,2026-08-27T17:12:46Z,Python,5224,93,12886,12744,2026-08-27T18:41:57.584741736Z,64258
mem0ai/mem0,2023-06-20T08:58:36Z,2026-08-27T18:05:27Z,Python,2533,393,2122,1857,2026-08-27T18:41:57.584741736Z,64193
ZhuLinsen/daily_stock_analysis,2026-01-10T06:43:20Z,2026-08-27T17:52:06Z,Python,691,35,835,786,2026-08-27T18:41:57.584741736Z,64116
scrapy/scrapy,2010-02-22T02:01:14Z,2026-08-27T16:21:27Z,Python,2849,53,3302,3065,2026-08-27T18:41:57.584741736Z,64057
rust-lang/rustlings,2015-09-15T02:25:18Z,2026-08-27T17:22:46Z,Rust,953,46,771,746,2026-08-27T18:41:57.584741736Z,63966
NanmiCoder/MediaCrawler,2023-06-09T12:14:34Z,2026-08-27T18:08:30Z,Python,142,0,626,466,2026-08-27T18:41:57.584741736Z,63918
FFmpeg/FFmpeg,2011-04-14T14:12:38Z,2026-08-27T17:38:37Z,C,0,0,0,0,2026-08-27T18:41:57.584741736Z,63700
asgeirtj/system_prompts_leaks,2025-05-03T02:43:56Z,2026-08-27T18:15:57Z,JavaScript,32,0,62,46,2026-08-27T18:41:57.584741736Z,63679
commaai/openpilot,2016-11-24T01:33:30Z,2026-08-27T17:58:12Z,Python,13312,63,3311,3223,2026-08-27T18:41:57.584741736Z,63522
tldr-pages/tldr,2013-12-08T07:34:43Z,2026-08-27T17:40:26Z,Markdown,19562,6,1794,1563,2026-08-27T18:41:57.584741736Z,63499
pbakaus/impeccable,2025-11-16T01:52:04Z,2026-08-27T18:18:40Z,JavaScript,294,48,252,209,2026-08-27T18:41:57.584741736Z,63238
socketio/socket.io,2010-03-11T18:24:48Z,2026-08-27T11:16:30Z,TypeScript,450,98,3666,3500,2026-08-27T18:41:57.584741736Z,63208
virattt/ai-hedge-fund,2024-11-29T16:30:01Z,2026-08-27T17:21:33Z,Python,53,11,279,227,2026-08-27T18:41:57.584741736Z,63068
resume/resume.github.com,2011-02-06T13:39:55Z,2026-08-27T17:21:23Z,JavaScript,84,0,131,67,2026-08-27T18:41:57.584741736Z,62890
jgraph/drawio-desktop,2017-05-25T20:58:42Z,2026-08-27T16:49:14Z,JavaScript,44,189,1810,1806,2026-08-27T18:41:57.584741736Z,62830
git/git,2008-07-23T14:21:26Z,2026-08-27T14:58:34Z,C,4,0,0,0,2026-08-27T18:41:57.584741736Z,62828
usememos/memos,2021-12-08T15:30:18Z,2026-08-27T17:25:54Z,Go,2089,96,2975,2946,2026-08-27T18:41:57.584741736Z,62594
karpathy/nanoGPT,2022-12-28T00:51:12Z,2026-08-27T18:11:31Z,Python,45,0,363,115,2026-08-27T18:41:57.584741736Z,62528
topjohnwu/Magisk,2016-09-08T12:42:53Z,2026-08-27T17:30:53Z,Kotlin,1732,156,6623,6590,2026-08-27T18:41:57.584741736Z,62462
pathwaycom/pathway,2022-11-27T13:01:14Z,2026-08-27T18:17:29Z,Python,29,89,171,142,2026-08-27T18:41:57.584741736Z,62375
youngyangyang04/leetcode-master,2019-12-14T12:05:42Z,2026-08-27T16:20:51Z,Shell,2311,0,281,68,2026-08-27T18:41:57.584741736Z,62297
withastro/astro,2021-03-15T17:19:47Z,2026-08-27T17:39:15Z,TypeScript,9283,1000,6577,6562,2026-08-27T18:41:57.584741736Z,62096
sansan0/TrendRadar,2025-04-28T11:42:16Z,2026-08-27T17:34:48Z,Python,2,0,496,460,2026-08-27T18:41:57.584741736Z,61873
PlexPt/awesome-chatgpt-prompts-zh,2022-12-12T01:55:03Z,2026-08-27T18:21:39Z,,33,0,102,62,2026-08-27T18:41:57.584741736Z,61853
byoungd/up,2017-05-30T07:18:52Z,2026-08-27T18:09:33Z,JavaScript,31,0,133,102,2026-08-27T18:41:57.584741736Z,61840
2dust/v2rayNG,2019-05-15T02:15:31Z,2026-08-27T18:07:59Z,Kotlin,673,308,4086,4071,2026-08-27T18:41:57.584741736Z,61699
reduxjs/redux,2015-05-29T23:53:15Z,2026-08-27T14:49:28Z,TypeScript,1767,78,2078,2039,2026-08-27T18:41:57.584741736Z,61508
FuelLabs/sway,2021-01-19T20:54:33Z,2026-08-27T18:05:24Z,Rust,3717,189,3318,2437,2026-08-27T18:41:57.584741736Z,61484
minio/minio,2015-01-14T19:23:58Z,2026-08-27T10:28:50Z,Go,9882,521,7885,7841,2026-08-27T18:41:57.584741736Z,61373
ChrisTitusTech/winutil,2022-04-28T02:25:19Z,2026-08-27T17:23:25Z,PowerShell,1472,46,2386,2368,2026-08-27T18:41:57.584741736Z,61315
upstash/context7,2025-03-26T23:40:39Z,2026-08-27T17:58:54Z,TypeScript,491,107,2263,2233,2026-08-27T18:41:57.584741736Z,61302
lodash/lodash,2012-04-07T04:11:46Z,2026-08-27T11:16:40Z,JavaScript,644,4,4362,4308,2026-08-27T18:41:57.584741736Z,61284
RVC-Boss/GPT-SoVITS,2024-01-14T18:05:21Z,2026-08-27T18:23:42Z,Python,367,4,2047,1255,2026-08-27T18:41:57.584741736Z,61276
coollabsio/coolify,2021-01-25T20:54:01Z,2026-08-27T18:14:09Z,PHP,2828,695,4006,3491,2026-08-27T18:41:57.584741736Z,61110
tw93/Pake,2022-10-14T09:32:57Z,2026-08-27T15:46:35Z,Rust,164,51,569,568,2026-08-27T18:41:57.584741736Z,61097
1c7/chinese-independent-developer,2017-09-21T11:08:23Z,2026-08-27T18:11:26Z,Python,765,0,366,365,2026-08-27T18:41:57.584741736Z,61041
