executedAt,mode,pagesTotal,cacheHits,cacheMisses,hitPct,requestsSaved,estimatedTimeSavedSec
2026-08-27T18:22:10.247472600Z,refresh,100,0,100,0.0,0,0.0
2026-08-27T18:41:57.584741736Z,cache,100,100,0,100.0,100,0.0
